Annual,AMean,AMedian,APct10,APct25,APct75,APct90,computerizationprob,EmpPrse,Hourly,HMean,HMedian,HPct10,HPct25,HPct75,HPct90,MeanPrse,NumberofRecords,OccCode,OccGroup,occtitle,occupation,soc10,TotEmp
,38330,33590,21330,25960,42360,"69,180",0.96,11.5,,18.43,16.15,10.26,12.48,20.36,33.26,4.3,1,51-7031,detailed,"Model Makers, Wood",Model Makers,51-7031,1160
,41550,38410,22540,30760,49600,"68,310",0.91,11.6,,19.98,18.46,10.84,14.79,23.85,32.84,2.8,1,51-7032,detailed,"Patternmakers, Wood",Patternmakers,51-7032,1030
,29190,27800,19020,22250,35030,"41,840",0.86,2.3,,14.04,13.37,9.15,10.7,16.84,20.12,0.6,1,51-7041,detailed,"Sawing Machine Setters, Operators, and Tenders, Wood",Sawing Machine Setters,51-7041,48600
,29090,27820,19380,22520,34520,"40,960",0.97,2.4,,13.98,13.37,9.32,10.83,16.6,19.69,0.5,1,51-7042,detailed,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Woodworking Machine Setters,51-7042,75540
,88820,88560,66520,77570,100250,"116,780",0.95,5.9,,42.7,42.58,31.98,37.29,48.2,56.14,1,1,51-8011,detailed,Nuclear Power Reactor Operators,Nuclear Power Reactor Operators,51-8011,6940
,80400,80840,53370,67250,94830,"108,900",0.64,3.2,,38.66,38.86,25.66,32.33,45.59,52.36,0.7,1,51-8012,detailed,Power Distributors and Dispatchers,Power Distributors and Dispatchers,51-8012,11540
,71070,71940,43930,58050,85320,"97,410",0.85,2.5,,34.17,34.58,21.12,27.91,41.02,46.83,0.7,1,51-8013,detailed,Power Plant Operators,Power Plant Operators,51-8013,37510
,60480,58530,35400,46350,72980,"91,260",0.89,2,,29.08,28.14,17.02,22.29,35.09,43.88,1,1,51-8021,detailed,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators,51-8021,34630
,46790,44790,27120,34670,57010,"70,940",0.61,1.1,,22.49,21.53,13.04,16.67,27.41,34.1,0.5,1,51-8031,detailed,Water and Wastewater Treatment Plant and System Operators,Water and Wastewater Treatment Plant and System Operators,51-8031,114770
,59070,59320,36090,46760,72130,"80,970",0.85,4.8,,28.4,28.52,17.35,22.48,34.68,38.93,0.9,1,51-8091,detailed,Chemical Plant and System Operators,Chemical Plant and System Operators,51-8091,35020
,65830,66010,43460,54410,76790,"90,740",0.78,3.9,,31.65,31.74,20.9,26.16,36.92,43.63,0.9,1,51-8092,detailed,Gas Plant Operators,Gas Plant Operators,51-8092,16790
,66020,65190,39120,51430,78760,"94,120",0.71,3.5,,31.74,31.34,18.81,24.73,37.87,45.25,1.1,1,51-8093,detailed,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Petroleum Pump System Operators,51-8093,42320
,55530,55540,31900,42540,66560,"77,450",0.86,3.6,,26.7,26.7,15.34,20.45,32,37.23,1,1,51-8099,detailed,"Plant and System Operators, All Other",Plant and System Operators,51-8099,11540
,49640,47220,27390,35280,61620,"76,150",0.76,3,,23.87,22.7,13.17,16.96,29.62,36.61,1.6,1,51-9011,detailed,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tenders ,51-9011,67650
,41210,38420,23150,29550,50510,"62,650",0.88,3.2,,19.81,18.47,11.13,14.21,24.28,30.12,1.2,1,51-9012,detailed,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Separating,51-9012,47750
,35560,33810,21440,26290,42950,"51,950",0.97,3.2,,17.1,16.26,10.31,12.64,20.65,24.97,0.8,1,51-9021,detailed,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Crushing,51-9021,31140
,30370,28610,19800,23080,35960,"44,440",0.97,3.2,,14.6,13.76,9.52,11.09,17.29,21.36,0.8,1,51-9022,detailed,"Grinding and Polishing Workers, Hand",Grinding and Polishing Workers,51-9022,28110
,36410,34600,21730,26970,44010,"53,770",0.83,1.8,,17.51,16.63,10.45,12.97,21.16,25.85,0.5,1,51-9023,detailed,"Mixing and Blending Machine Setters, Operators, and Tenders",Mixing and Blending Machine Setters,51-9023,129270
,28850,26820,19120,21570,33810,"41,960",0.64,5.7,,13.87,12.89,9.19,10.37,16.25,20.17,1.2,1,51-9031,detailed,"Cutters and Trimmers, Hand",Cutters and Trimmers,51-9031,15740
,33250,32190,21010,25490,39440,"48,080",0.86,2.3,,15.98,15.48,10.1,12.25,18.96,23.12,0.8,1,51-9032,detailed,"Cutting and Slicing Machine Setters, Operators, and Tenders",Cutting and Slicing Machine Setters,51-9032,63330
,34030,32160,21040,25570,40550,"50,070",0.93,2.9,,16.36,15.46,10.12,12.29,19.49,24.07,0.9,1,51-9041,detailed,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Extruding,51-9041,71430
,36970,35360,22620,27890,44630,"55,000",0.37,3.3,,17.77,17,10.88,13.41,21.46,26.44,1.1,1,51-9051,detailed,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Furnace,51-9051,19650
,39410,36000,21140,26980,48130,"62,150",0.98,0.7,,18.95,17.31,10.16,12.97,23.14,29.88,0.4,1,51-9061,detailed,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspectors,51-9061,508590
,42380,37060,21640,27400,49930,"67,210",0.95,4.8,,20.38,17.82,10.4,13.17,24.01,32.31,2.2,1,51-9071,detailed,Jewelers and Precious Stone and Metal Workers,Jewelers and Precious Stone and Metal Workers,51-9071,25270
,40520,37190,22220,28570,49340,"61,870",0.97,2.6,,19.48,17.88,10.68,13.73,23.72,29.74,0.9,1,51-9081,detailed,Dental Laboratory Technicians,Dental Laboratory Technicians,51-9081,37520
,39020,34890,22400,27680,45730,"62,160",0.45,8.2,,18.76,16.77,10.77,13.31,21.99,29.89,1.5,1,51-9082,detailed,Medical Appliance Technicians,Medical Appliance Technicians,51-9082,14640
,32970,29860,20610,24500,37590,"49,790",0.97,3.8,,15.85,14.35,9.91,11.78,18.07,23.94,1.8,1,51-9083,detailed,Ophthalmic Laboratory Technicians,Ophthalmic Laboratory Technicians,51-9083,27990
,29770,27080,18860,21330,35650,"46,400",0.98,1.3,,14.31,13.02,9.07,10.25,17.14,22.31,0.5,1,51-9111,detailed,Packaging and Filling Machine Operators and Tenders,Packaging and Filling Machine Operators and Tenders,51-9111,378560
,33610,31940,21400,25740,39370,"48,580",0.91,1.9,,16.16,15.35,10.29,12.37,18.93,23.36,0.6,1,51-9121,detailed,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Coating,51-9121,88780
,44920,41150,25790,32520,54520,"68,600",0.69,2,,21.6,19.79,12.4,15.64,26.21,32.98,0.8,1,51-9122,detailed,"Painters, Transportation Equipment",Painters,51-9122,51760
,31210,29270,19390,23050,36720,"46,440",0.92,4.2,,15.01,14.07,9.32,11.08,17.65,22.33,1.1,1,51-9123,detailed,"Painting, Coating, and Decorating Workers",Painting,51-9123,16020
,37600,35390,25310,29040,44000,"54,820",0.88,9.1,,18.08,17.01,12.17,13.96,21.15,26.36,1.2,1,51-9141,detailed,Semiconductor Processors,Semiconductor Processors ,51-9141,24230
,30720,26590,19170,21690,35900,"48,610",0.99,4.1,,14.77,12.78,9.22,10.43,17.26,23.37,1.3,1,51-9151,detailed,Photographic Process Workers and Processing Machine Operators,Photographic Process Workers and Processing Machine Operators ,51-9151,23940
,33750,31710,21040,25220,39490,"48,970",0.95,5.9,,16.23,15.25,10.12,12.12,18.99,23.54,1.5,1,51-9191,detailed,Adhesive Bonding Machine Operators and Tenders,Adhesive Bonding Machine Operators and Tenders,51-9191,17400
