occ00,soc10,,,,,,,,,,,,
671,47-4031,,,,,,,,,,,,
672,47-4041,,,,,,,,,,,,
673,47-4051,,,,,,,,,,,,
674,47-4061,,,,,,,,,,,,
675,47-4071,,,,,,,,,,,,
676,47-4090,,,,,,,,,,,,
680,47-5010,,,,,,,,,,,,
682,47-5021,,,,,,,,,,,,
683,47-5031,,,,,,,,,,,,
684,47-5040,,,,,,,,,,,,
691,47-5061,,,,,,,,,,,,
692,47-5071,,,,,,,,,,,,
693,47-5081,,,,,,,,,,,,
694,47-5051,,,,,,,,,,,,
694,47-5099,,,,,,,,,,,,
700,49-1011,,,,,,,,,,,,
701,49-2011,,,,,,,,,,,,
702,49-2020,,,,,,,,,,,,
703,49-2091,,,,,,,,,,,,
704,49-2092,,,,,,,,,,,,
705,49-2093,,,,,,,,,,,,
710,49-2094,,,,,,,,,,,,
710,49-2095,,,,,,,,,,,,
711,49-2096,,,,,,,,,,,,
712,49-2097,,,,,,,,,,,,
713,49-2098,,,,,,,,,,,,
714,49-3011,,,,,,,,,,,,
715,49-3021,,,,,,,,,,,,
716,49-3022,,,,,,,,,,,,
720,49-3023,,,,,,,,,,,,
721,49-3031,,,,,,,,,,,,
722,49-3040,,,,,,,,,,,,
724,49-3050,,,,,,,,,,,,
726,49-3090,,,,,,,,,,,,
730,49-9010,,,,,,,,,,,,
731,49-9021,,,,,,,,,,,,
732,49-9031,,,,,,,,,,,,
733,49-9041,,,,,,,,,,,,
733,49-9045,,,,,,,,,,,,
734,49-9042,,,,,,,,,,,,
735,49-9043,,,,,,,,,,,,
736,49-9044,,,,,,,,,,,,
741,49-9051,,,,,,,,,,,,
742,49-9052,,,,,,,,,,,,
743,49-9060,,,,,,,,,,,,
751,49-9091,,,,,,,,,,,,
752,49-9092,,,,,,,,,,,,
754,49-9094,,,,,,,,,,,,
755,49-9095,,,,,,,,,,,,
756,49-9096,,,,,,,,,,,,
760,49-9097,,,,,,,,,,,,
761,49-9098,,,,,,,,,,,,
762,49-9093,,,,,,,,,,,,
762,49-9099,,,,,,,,,,,,
