year,klemsindid,grossoutputnom,capitalnom,labornom,intermediatenom,grossoutputcon,capitalcon,laborcon,intermediatecon
1982,2,24097.9,4906.5,6294.4,12897.0,39249.4,7718.4,8498.8,20857.8
1983,2,26068.4,5534.7,6679.7,13854.0,42332.6,7934.6,8624.4,22060.9
1984,2,26921.2,5346.4,7406.7,14168.0,43596.8,8112.1,8705.0,22215.3
1985,2,24640.3,4930.8,8148.4,11561.0,40174.3,8330.5,9252.4,18202.0
1986,2,26310.2,5106.4,8933.7,12270.0,41737.8,8547.5,9249.8,19516.2
1987,2,27671.5,6785.2,10155.3,10731.0,42404.6,8668.0,9886.9,16340.8
1988,2,29267.5,5679.7,11379.7,12208.0,40736.5,8667.0,10821.2,17349.3
1989,2,29755.1,6069.0,11447.2,12239.0,40427.5,8690.3,11008.7,16924.8
1990,2,31026.7,6337.8,11753.9,12935.0,40676.9,8859.8,10937.0,17356.6
1991,2,29906.5,5719.7,11666.9,12520.0,39792.8,9071.2,11021.4,16805.8
1992,2,34213.6,6167.5,12425.1,15621.0,42035.8,9274.7,11124.2,20393.5
1993,2,36223.8,5902.4,13131.4,17190.0,40641.8,9449.6,11812.6,21527.6
1994,2,39968.7,8116.4,13388.3,18464.0,42955.3,9542.0,12453.5,22372.5
1995,2,40497.8,9741.3,12254.5,18502.0,42677.6,9505.6,15037.7,21804.8
1996,2,39535.0,8525.4,12164.6,18845.0,42452.0,9425.5,15297.6,22173.5
1997,2,38171.0,8229.0,12190.0,17752.0,40544.4,9178.0,15535.7,20646.4
1998,2,41663.8,8120.1,12570.7,20973.0,44658.7,8866.0,16162.7,24881.7
1999,2,45065.8,7902.0,13737.8,23426.0,49181.2,8701.9,16441.3,28088.7
2000,2,38920.7,8687.5,13489.3,16744.0,42604.8,8642.9,16642.9,19999.8
2001,2,38641.4,8439.3,13237.1,16965.0,44108.1,8609.5,16148.7,20697.6
2002,2,39191.2,8218.7,13299.5,17673.0,45604.1,8471.2,15693.9,21699.6
2003,2,41056.6,8439.5,14275.1,18342.0,46774.8,8515.7,15103.7,21690.9
2004,2,45072.8,8414.4,15113.4,21545.0,49819.6,8819.3,14632.7,23938.9
2005,2,46320.9,10676.1,13088.8,22556.0,49857.8,9037.0,15307.7,23851.4
2006,2,47359.4,11807.2,16807.3,18745.0,49806.4,9250.0,19134.7,19304.2
2007,2,43968.4,10016.6,17960.8,15991.0,44275.4,9315.4,19473.9,15470.4
2008,2,43781.7,8696.7,18821.0,16264.0,41488.9,9305.3,19247.5,14201.9
2009,2,40321.0,9338.6,18084.5,12898.0,40321.0,9338.6,18084.5,12898.0
2010,2,43945.9,10335.6,19597.3,14013.0,41274.0,9503.9,18888.0,12919.5
2011,2,47092.1,10229.0,20174.1,16689.0,42259.8,9779.9,18490.2,14106.3
2012,2,45700.1,10808.4,22825.7,12066.0,40350.3,10128.9,18654.2,10051.5
2013,2,47517.2,11592.9,22576.3,13348.0,40832.9,10513.5,19492.2,10948.7
2014,2,53969.1,12365.5,23933.6,17670.0,45990.7,10796.9,19687.9,14284.6
1947,3,3657.6,1372.2,577.5,1708.0,101877.1,33634.9,14443.4,16890.8
1948,3,5309.9,2317.5,714.4,2278.0,116999.6,35180.6,15446.7,19989.5
1949,3,4717.9,2191.7,726.2,1800.0,107379.0,36703.5,14146.9,15644.0
1950,3,5149.6,2847.3,438.2,1864.0,115942.4,38385.1,15087.1,15806.0
1951,3,5870.4,2699.2,905.2,2266.0,130147.4,40021.5,17068.7,17692.1
1952,3,6134.5,3140.3,743.2,2251.0,133582.0,42251.4,18517.1,17278.2
1953,3,6715.6,3140.5,1026.1,2549.0,139640.0,44847.5,19552.6,19001.1
1954,3,6955.5,3621.0,938.4,2396.0,141364.3,47818.3,20063.2,18223.3
1955,3,7387.6,3705.3,1262.3,2420.0,151287.6,51166.9,22047.5,17788.9
1956,3,8000.2,4035.7,1223.5,2741.0,158507.8,54552.6,22858.5,18907.4
1957,3,8811.9,3984.7,1486.2,3341.0,163500.3,57513.2,22751.9,22468.1
1958,3,8301.4,4078.3,1220.2,3003.0,155349.5,59897.4,20837.1,20516.5
1959,3,8553.1,4011.1,1290.0,3252.0,160580.0,61702.4,20477.0,22116.4
1960,3,8608.8,3770.2,1451.5,3387.0,161540.9,63680.6,19619.2,22865.1
1961,3,8913.5,4274.9,1158.7,3480.0,165063.4,65225.4,19077.1,23505.6
1962,3,9224.4,4424.7,1134.7,3665.0,168465.2,66762.3,18757.8,24765.2
1963,3,9399.1,4057.2,1452.9,3889.0,174021.7,70024.1,18226.3,26800.4
1964,3,9543.2,3959.7,1622.5,3961.0,178998.5,71114.9,17559.8,29982.6
1965,3,10076.3,4615.7,1174.7,4286.0,187214.1,73121.8,17741.6,32765.1
1966,3,10876.0,4108.4,1769.6,4998.0,199732.8,74847.2,17627.4,37757.8
1967,3,11793.2,4569.0,1860.2,5364.0,213152.4,76589.9,17761.3,40403.7
1968,3,12301.0,5499.8,1457.2,5344.0,216823.3,77742.8,17291.8,39110.1
1969,3,13138.4,5156.6,2047.7,5934.0,225805.8,79335.8,17217.1,42660.0
1970,3,13988.7,5752.8,1753.9,6482.0,230182.0,79912.7,17463.9,45641.5
1971,3,14628.3,5953.8,1832.5,6842.0,228070.4,80708.0,16849.3,46802.1
1972,3,14601.7,5350.0,2502.8,6749.0,227792.9,80273.7,17988.2,45119.7
1973,3,16759.6,6491.2,2802.4,7466.0,226150.3,81103.7,17461.1,46191.9
1974,3,26968.4,11336.9,3525.5,12106.0,221476.5,79019.4,18531.4,63131.0
1975,3,31057.8,13097.2,4360.6,13600.0,209533.8,80147.3,19445.3,63003.8
1976,3,35097.0,15307.8,4932.1,14857.0,212101.6,81794.0,20229.7,64185.4
1977,3,41302.7,17618.9,5966.8,17717.0,216947.3,83804.2,22335.6,70718.1
1978,3,45357.7,19147.0,7590.7,18620.0,219620.5,88174.2,24090.0,68794.8
1979,3,60776.8,22768.9,9192.9,28815.0,215653.1,94883.5,25870.6,95036.3
1980,3,89646.8,41282.2,12375.6,35989.0,215810.8,107042.2,30203.7,103008.2
1981,3,116887.9,50058.5,19097.4,47732.0,216239.3,106770.0,35469.0,121325.8
1982,3,114727.3,48596.3,20165.0,45966.0,203457.7,121265.3,38033.7,112697.7
1983,3,114573.6,58317.3,9205.3,47051.0,194803.9,158106.3,35911.6,110151.0
1984,3,120674.6,52174.3,15500.3,53000.0,210337.2,165615.3,36273.6,121423.2
1985,3,112285.1,49850.1,18371.0,44064.0,209080.8,166092.0,35587.4,99214.2
1986,3,68161.1,33603.0,9331.2,25227.0,198159.2,167449.7,29718.4,60698.7
1987,3,74397.9,39377.6,7042.3,27978.0,202693.2,164775.5,27167.8,65238.1
1988,3,66709.3,28305.0,12547.2,25857.0,207305.1,137283.6,27134.8,59507.0
1989,3,72293.5,32499.7,12917.9,26876.0,197906.9,136099.3,27628.0,59055.2
1990,3,84775.8,39308.8,13772.9,31694.0,200611.8,134728.2,28665.0,66104.9
1991,3,76638.2,30385.6,13610.6,32642.0,205188.8,133724.2,27411.5,67467.2
1992,3,75926.8,33517.0,7803.8,34606.0,198981.2,136830.2,26137.2,69945.0
1993,3,75787.5,30626.1,11116.4,34045.0,199297.5,135229.0,25421.7,67787.7
1994,3,69907.9,30571.6,9999.3,29337.0,197686.5,135108.5,24170.4,57650.1
1995,3,67991.5,28593.7,12199.9,27198.0,201452.5,133098.2,23812.0,51654.2
1996,3,89777.4,39312.1,13342.3,37123.0,204325.2,132685.1,22382.6,66853.4
1997,3,95343.7,39834.4,12872.2,42637.0,216055.4,132084.7,21738.2,76148.4
1998,3,70435.2,25251.0,11904.2,33280.0,209787.4,145572.4,20320.2,68363.4
1999,3,83590.9,35121.7,7241.2,41228.0,206516.9,148773.4,18322.0,76136.7
2000,3,142723.3,52212.1,13852.3,76659.0,220016.6,144029.8,18154.9,110380.1
2001,3,139851.9,59844.8,14551.1,65456.0,223646.8,145664.4,18529.0,94791.0
2002,3,114647.3,54742.0,13526.4,46379.0,207531.5,145127.3,17032.2,71818.6
2003,3,163324.9,76722.6,13982.4,72620.0,206680.6,143637.3,18542.3,92576.8
2004,3,195329.0,99639.7,10223.2,85466.0,206713.7,144640.7,19373.7,95497.0
2005,3,255880.5,137397.6,14086.9,104396.0,203975.6,145215.9,20584.9,96653.1
2006,3,264857.2,151008.9,21072.3,92776.0,202658.5,146563.7,22380.6,82694.7
2007,3,285683.4,174551.0,22779.4,88353.0,205905.6,149079.1,24290.6,75718.6
2008,3,381748.9,238949.7,27954.1,114845.0,212643.2,151694.4,25672.3,83000.9
2009,3,217340.8,152328.0,25970.9,39042.0,217340.8,152328.0,25970.9,39042.0
2010,3,282465.4,173834.6,28283.9,80347.0,221526.9,151639.1,25957.7,70320.7
2011,3,332313.0,211136.0,30005.1,91172.0,232674.1,153338.8,29175.3,74817.0
2012,3,329681.1,220904.5,34940.6,73836.0,255202.9,156293.9,31878.1,65020.5
2013,3,384326.6,262254.9,38534.7,83537.0,281101.1,159154.0,32070.8,69971.6
2014,3,424951.3,283589.3,42848.9,98513.0,315941.9,162316.3,33566.6,80253.0
1947,4,5536.3,1377.4,1889.9,2269.0,64232.7,17621.2,32807.1,23447.3
1948,4,6101.3,1677.9,2148.5,2275.0,54850.6,18081.0,33480.1,20451.3
1949,4,5649.6,1125.7,1792.0,2732.0,50762.3,18313.5,28658.1,24316.9
1950,4,6474.0,1546.4,2008.6,2919.0,56741.7,18451.3,30013.4,25246.5
1951,4,7345.6,1580.8,2295.8,3469.0,59070.8,18730.3,30500.0,27291.3
1952,4,7098.2,1205.4,2235.8,3657.0,56245.7,19348.9,29183.5,28496.8
1953,4,7653.0,1244.8,2274.2,4134.0,59207.1,19443.1,27688.9,31588.6
1954,4,7110.1,1228.9,1934.2,3947.0,57681.8,19619.0,24055.3,30401.3
1955,4,8175.9,1723.5,2073.4,4379.0,64696.6,19794.7,25117.1,32769.6
1956,4,8708.2,1894.1,2361.1,4453.0,63628.1,20245.8,26675.6,31673.7
1957,4,7920.0,1634.5,2436.6,3849.0,58450.5,20657.6,26202.7,26799.9
1958,4,6705.9,1369.4,2070.5,3266.0,51445.5,20573.5,22703.9,22829.6
1959,4,7048.1,1282.6,1969.5,3796.0,53474.8,20278.3,22305.2,26096.5
1960,4,7504.7,1440.1,2143.7,3921.0,57386.8,20095.6,22522.3,26698.9
1961,4,7430.3,1425.0,2048.4,3957.0,57320.6,20276.0,21497.1,26960.6
1962,4,7418.6,1408.4,2070.2,3940.0,57188.8,20714.8,21464.1,26711.9
1963,4,7488.3,1620.0,2109.3,3759.0,57621.3,21335.2,21799.4,25439.9
1964,4,8160.9,1762.4,2224.4,4174.0,59371.5,21983.0,22378.1,27737.9
1965,4,8762.5,1612.7,2381.8,4768.0,64441.7,22928.6,22551.7,31447.0
1966,4,9174.6,1895.1,2558.5,4721.0,66839.1,24026.8,23044.2,30602.2
1967,4,8933.6,1383.3,2618.3,4932.0,64057.2,25119.0,22382.3,31416.0
1968,4,9622.5,1661.5,2605.0,5356.0,66627.2,26012.2,21925.0,33174.4
1969,4,10571.3,1465.6,3073.7,6032.0,68793.0,26775.3,22956.8,35813.1
1970,4,12574.0,2243.9,3471.1,6859.0,72384.1,27778.0,23659.9,38703.3
1971,4,12081.6,1917.1,3622.5,6542.0,66779.0,29313.5,22645.4,35517.7
1972,4,12718.7,1938.5,4069.3,6711.0,66936.6,31265.2,23205.7,35615.3
1973,4,15573.1,2914.7,4500.5,8158.0,74448.1,33150.4,23835.3,40396.1
1974,4,23594.9,5680.5,5389.5,12525.0,79367.9,35495.2,26578.2,50985.1
1975,4,27709.9,5654.2,6749.8,15306.0,75332.7,38290.6,27831.8,54382.7
1976,4,28857.4,5193.7,7531.7,16132.0,76291.9,41530.9,28515.6,54644.0
1977,4,29608.8,6153.1,8449.7,15006.0,76517.0,45362.8,29461.4,47669.9
1978,4,33729.6,6661.2,9629.5,17439.0,79838.2,50069.4,28905.5,51255.0
1979,4,42967.6,7731.8,11650.9,23585.0,90198.9,54863.3,31118.4,62255.8
1980,4,47966.0,7830.7,12806.3,27329.0,90270.3,57597.4,30258.7,63508.5
1981,4,49583.4,7279.6,13862.8,28441.0,88283.0,58924.6,29559.0,60807.7
1982,4,41903.5,6598.4,13559.0,21746.0,75092.9,59925.2,27083.9,45424.4
